Significant,pvalue,Difference,Protein.Group,Protein.Ids,Protein.Names,Genes
+,3.09222593,8.993766149,Q7Z478,Q7Z478,DHX29_HUMAN,DHX29
+,4.830758006,5.745763461,Q13439;Q13439-3;Q13439-4;Q13439-5,Q13439;Q13439-3;Q13439-4;Q13439-5,GOGA4_HUMAN,GOLGA4
+,3.351893484,4.955824852,Q99759;Q99759-2,Q99759;Q99759-2;Q9Y2U5,M3K3_HUMAN,MAP3K3
+,3.554703161,4.488182068,Q96EN8,Q96EN8,MOCOS_HUMAN,MOCOS
+,4.092648567,4.101445198,Q6AZZ1,Q6AZZ1;Q6AZZ1-2,TRI68_HUMAN,TRIM68
+,1.39166324,4.039691289,Q96K17,Q96K17;Q96K17-3,BT3L4_HUMAN,BTF3L4
+,4.443001933,3.798148791,Q86SZ2;Q86SZ2-2,Q86SZ2;Q86SZ2-2,TPC6B_HUMAN,TRAPPC6B
+,2.742911601,3.513709386,Q13625;Q13625-2;Q13625-3,Q13625;Q13625-2;Q13625-3,ASPP2_HUMAN,TP53BP2
+,4.255244098,3.489287059,Q99996;Q99996-1;Q99996-3;Q99996-5;Q99996-6,Q99996;Q99996-1;Q99996-3;Q99996-4;Q99996-5;Q99996-6,AKAP9_HUMAN,AKAP9
+,1.195775976,3.3534832,Q16890;Q16890-2;Q16890-3;Q16890-4;Q16890-5,Q16890;Q16890-2;Q16890-3;Q16890-4;Q16890-5,TPD53_HUMAN,TPD52L1
+,2.285162009,3.191206296,Q9H446;Q9H446-2,Q9H446;Q9H446-2,RWDD1_HUMAN,RWDD1
+,2.394152737,3.073661804,Q15642;Q15642-2;Q15642-3;Q15642-4,Q15642;Q15642-2;Q15642-3;Q15642-4;Q15642-5,CIP4_HUMAN,TRIP10
+,4.197020955,3.003946304,P55039,P55039,DRG2_HUMAN,DRG2
+,3.414712151,2.907215436,O43303;O43303-2,O43303;O43303-2,CP110_HUMAN,CCP110
+,2.794286287,2.803346316,Q15819,Q15819,UB2V2_HUMAN,UBE2V2
+,3.897182059,2.798548381,P61204;P84077,P61204;P84077,ARF1_HUMAN;ARF3_HUMAN,ARF1;ARF3
+,5.81029581,2.781996409,Q9BV40,Q9BV40,VAMP8_HUMAN,VAMP8
+,3.671388496,2.766722361,Q14789;Q14789-2;Q14789-3;Q14789-4,Q14789;Q14789-2;Q14789-3;Q14789-4,GOGB1_HUMAN,GOLGB1
+,1.097337519,2.747549693,Q5JTD0;Q5JTD0-2,Q5JTD0;Q5JTD0-2;Q5JTD0-4,TJAP1_HUMAN,TJAP1
+,1.283519308,2.72207133,O43414;O43414-2;O43414-3,O43414;O43414-2;O43414-3,ERI3_HUMAN,ERI3
+,2.818252027,2.715015729,P43405;P43405-2,P43405;P43405-2,KSYK_HUMAN,SYK
+,2.447035679,2.713261922,Q5TGZ0,Q5TGZ0,MIC10_HUMAN,MICOS10
+,1.631639987,2.629956881,Q9BQS8;Q9BQS8-4,Q9BQS8;Q9BQS8-2;Q9BQS8-3;Q9BQS8-4,FYCO1_HUMAN,FYCO1
+,2.388241948,2.621864955,Q92574;Q92574-2,Q92574;Q92574-2,TSC1_HUMAN,TSC1
+,1.065846932,2.487870534,Q7Z494,Q7Z494;Q7Z494-6,NPHP3_HUMAN,NPHP3
+,0.966754455,2.454198201,Q9BYT3;Q9BYT3-2,Q9BYT3;Q9BYT3-2,STK33_HUMAN,STK33
+,1.203465437,2.419860522,A0AVF1,A0AVF1;A0AVF1-2;A0AVF1-3,IFT56_HUMAN,TTC26
+,3.779590724,2.408671697,Q9UM00;Q9UM00-1;Q9UM00-2,Q9UM00;Q9UM00-1;Q9UM00-2,TMCO1_HUMAN,TMCO1
+,3.210255088,2.36197408,Q93063;Q93063-2;Q93063-3,Q93063;Q93063-2;Q93063-3,EXT2_HUMAN,EXT2
+,1.410078894,2.345445633,Q96A19,Q96A19,C102A_HUMAN,CCDC102A
+,1.128417666,2.309740384,Q8NFP7;Q96G61,Q8NFP7;Q96G61,NUD10_HUMAN;NUD11_HUMAN,NUDT10;NUDT11
+,2.177268311,2.306262016,Q5TH69,Q5TH69,BIG3_HUMAN,ARFGEF3
+,1.949679651,2.294274966,Q5EBL4;Q5EBL4-2,Q5EBL4;Q5EBL4-2,RIPL1_HUMAN,RILPL1
+,1.083849866,2.251987139,Q9ULQ0,Q9ULQ0,STRP2_HUMAN,STRIP2
+,1.119951422,2.234407107,P09972,P09972,ALDOC_HUMAN,ALDOC
+,2.567662545,2.211196264,P49917,P49917,DNLI4_HUMAN,LIG4
+,1.095845582,2.196608861,Q13432;Q13432-2,A6NIH7;Q13432;Q13432-2,U119A_HUMAN,UNC119
+,2.516250819,2.172945976,Q6NUI2;Q6NUI2-4;Q6NUI2-5,Q6NUI2;Q6NUI2-4;Q6NUI2-5,GPAT2_HUMAN,GPAT2
+,1.391575502,2.16601785,Q8IW35;Q8IW35-2,Q8IW35;Q8IW35-2,CEP97_HUMAN,CEP97
+,2.00312508,2.159164429,Q71UM5,Q71UM5,RS27L_HUMAN,RPS27L
+,2.607823331,2.145950635,Q13153;Q13153-2,Q13153;Q13153-2,PAK1_HUMAN,PAK1
+,4.489712444,2.117732366,O95714,O95714,HERC2_HUMAN,HERC2
+,2.703105337,2.09952418,Q96JN8;Q96JN8-2,Q96JN8;Q96JN8-2,NEUL4_HUMAN,NEURL4
+,0.865698001,2.094700495,Q9HD40,Q9HD40;Q9HD40-2,SPCS_HUMAN,SEPSECS
+,4.66225177,2.076646169,Q4V328,Q4V328;Q4V328-2;Q4V328-4,GRAP1_HUMAN,GRIPAP1
+,2.222663794,2.070949872,Q70CQ3,Q70CQ3,UBP30_HUMAN,USP30
+,2.558435128,2.064669291,Q9H993,Q9H993,ARMT1_HUMAN,ARMT1
+,1.22369358,2.055539449,Q9H892;Q9H892-2,Q9H892;Q9H892-2,TTC12_HUMAN,TTC12
+,3.349797663,2.055046082,Q8N4P2,Q8N4P2,TT30B_HUMAN,TTC30B
+,4.242651476,2.022618612,Q6NVY1,Q6NVY1,HIBCH_HUMAN,HIBCH
+,3.491265163,2.021764755,P09914;P09914-2,P09914;P09914-2,IFIT1_HUMAN,IFIT1
+,2.247000481,2.019797961,Q0JRZ9;Q0JRZ9-3,Q0JRZ9;Q0JRZ9-3,FCHO2_HUMAN,FCHO2
+,2.185135195,2.001229922,Q86X02,Q86X02,CDR2L_HUMAN,CDR2L
+,0.786751961,1.999869347,Q96SW2;Q96SW2-2,Q96SW2;Q96SW2-2,CRBN_HUMAN,CRBN
+,2.299921065,1.973262469,Q7Z6L1;Q7Z6L1-2;Q7Z6L1-4,Q7Z6L1;Q7Z6L1-2;Q7Z6L1-4,TCPR1_HUMAN,TECPR1
+,4.078868,1.964665095,Q5VU43;Q5VU43-13;Q5VU43-2;Q5VU43-3;Q5VU43-4;Q5VU43-6;Q5VU43-7,Q5VU43;Q5VU43-13;Q5VU43-2;Q5VU43-3;Q5VU43-4;Q5VU43-6;Q5VU43-7,MYOME_HUMAN,PDE4DIP
+,1.004864002,1.947184881,Q9P2H3;Q9P2H3-3,Q9P2H3;Q9P2H3-3,IFT80_HUMAN,IFT80
+,0.969635938,1.913529396,Q05193;Q05193-2;Q05193-3;Q05193-5,Q05193;Q05193-2;Q05193-3;Q05193-5,DYN1_HUMAN,DNM1
+,1.313511046,1.891502698,Q9BQG2,Q9BQG2;Q9BQG2-2,NUD12_HUMAN,NUDT12
+,1.422116044,1.853353818,Q96ED9;Q96ED9-2,Q96ED9;Q96ED9-2,HOOK2_HUMAN,HOOK2
+,1.920047304,1.815526962,Q8NDH6,Q05084;Q05084-2;Q05084-3;Q8NDH6,ICA1L_HUMAN,ICA1L
+,1.437156236,1.811783791,O95749,O95749,GGPPS_HUMAN,GGPS1
+,6.109403967,1.803859711,P42345,P42345,MTOR_HUMAN,MTOR
+,0.91658748,1.803424199,O75170;O75170-2;O75170-3;O75170-4;O75170-5;O75170-6,O75170;O75170-2;O75170-3;O75170-4;O75170-5;O75170-6,PP6R2_HUMAN,PPP6R2
+,0.891045309,1.791605632,Q9H1H9;Q9H1H9-2;Q9H1H9-3;Q9H1H9-4,Q9H1H9;Q9H1H9-2;Q9H1H9-3;Q9H1H9-4,KI13A_HUMAN,KIF13A
+,1.994282595,1.766272863,O95613;O95613-2,O95613;O95613-2,PCNT_HUMAN,PCNT
+,1.259462775,1.758896828,Q13772;Q13772-3;Q13772-4,Q13772;Q13772-3;Q13772-4,NCOA4_HUMAN,NCOA4
+,2.22132014,1.749466578,Q9P1Q0;Q9P1Q0-2;Q9P1Q0-4,Q9P1Q0;Q9P1Q0-2;Q9P1Q0-4,VPS54_HUMAN,VPS54
+,1.039336584,1.745575905,Q9BVG9,Q9BVG9,PTSS2_HUMAN,PTDSS2
+,1.238725458,1.742792447,Q9ULH1;Q9ULH1-2,Q9ULH1;Q9ULH1-2,ASAP1_HUMAN,ASAP1
+,0.785593106,1.731879234,Q5VWJ9,Q5VWJ9,SNX30_HUMAN,SNX30
+,3.159744712,1.725566546,Q5T1M5,Q5T1M5,FKB15_HUMAN,FKBP15
+,2.698985618,1.721766154,Q14678;Q14678-2,Q14678;Q14678-2,KANK1_HUMAN,KANK1
+,2.803704289,1.71173954,Q7Z7B1,Q7Z7B1,PIGW_HUMAN,PIGW
+,5.509864939,1.711150805,O94972;O94972-2;O94972-3,O94972;O94972-2;O94972-3,TRI37_HUMAN,TRIM37
+,2.420314361,1.695110003,Q96C92;Q96C92-2,Q96C92;Q96C92-2;Q96C92-3;Q96C92-4,ENTR1_HUMAN,ENTR1
+,0.970590376,1.693338712,Q5BJF6;Q5BJF6-2;Q5BJF6-3;Q5BJF6-4,Q5BJF6;Q5BJF6-10;Q5BJF6-2;Q5BJF6-3;Q5BJF6-4;Q5BJF6-5;Q5BJF6-6;Q5BJF6-7;Q5BJF6-8;Q5BJF6-9,ODFP2_HUMAN,ODF2
+,1.010142001,1.687406858,Q66LE6,Q66LE6,2ABD_HUMAN,PPP2R2D
+,1.267827858,1.673732758,Q15643,Q15643;Q15643-2,TRIPB_HUMAN,TRIP11
+,0.925599624,1.665792465,Q6ZSJ8,Q6ZSJ8,CA122_HUMAN,C1orf122
+,1.683320146,1.660552979,P24390;P24390-2,P24390;P24390-2,ERD21_HUMAN,KDELR1
+,2.398382576,1.645109812,Q92805,Q92805,GOGA1_HUMAN,GOLGA1
+,1.231141943,1.644880931,Q9Y2Z0;Q9Y2Z0-2,Q9Y2Z0;Q9Y2Z0-2,SGT1_HUMAN,SUGT1
+,5.419392777,1.615240733,P49588,P49588;P49588-2,SYAC_HUMAN,AARS1
+,1.786817126,1.61392498,Q9HAV0,Q9HAV0,GBB4_HUMAN,GNB4
+,1.719477058,1.600551287,O43504,O43504,LTOR5_HUMAN,LAMTOR5
+,2.181982737,1.600389163,Q86WG5,Q86WG5,MTMRD_HUMAN,SBF2
+,1.441544365,1.589819272,Q01518-2,Q01518-2,CAP1_HUMAN,CAP1
+,1.12816113,1.576069514,Q86VP1;Q86VP1-2;Q86VP1-3;Q86VP1-4,Q86VP1;Q86VP1-2;Q86VP1-3;Q86VP1-4,TAXB1_HUMAN,TAX1BP1
+,0.858838995,1.574138959,O00423;O00423-3,O00423;O00423-3,EMAL1_HUMAN,EML1
+,1.421306254,1.570348422,P58340;P58340-2;P58340-3;P58340-4;P58340-5,P58340;P58340-2;P58340-3;P58340-4;P58340-5,MLF1_HUMAN,MLF1
+,4.58143993,1.564989726,P30050,P30050,RL12_HUMAN,RPL12
+,1.861917027,1.56444486,Q9NZN3,Q9NZN3,EHD3_HUMAN,EHD3
+,0.943889742,1.563224157,Q92551,Q92551;Q92551-2;Q9UHH9,IP6K1_HUMAN,IP6K1
+,0.991260385,1.551766078,Q13325;Q13325-2,Q13325;Q13325-2,IFIT5_HUMAN,IFIT5
+,1.352990422,1.548555692,O00764;O00764-2;O00764-3,O00764;O00764-2;O00764-3,PDXK_HUMAN,PDXK
+,0.718174511,1.545823733,Q17RS7,Q17RS7,GEN_HUMAN,GEN1
+,1.886046518,1.544878324,Q9H2C0,Q9H2C0,GAN_HUMAN,GAN
+,0.908024728,1.536822637,Q9NZ72;Q9NZ72-2,Q9NZ72;Q9NZ72-2,STMN3_HUMAN,STMN3
+,3.220956947,1.530597369,P09417;P09417-2,P09417;P09417-2,DHPR_HUMAN,QDPR
+,4.114772579,1.530471802,Q9UIA9,Q9UIA9,XPO7_HUMAN,XPO7
+,4.256951841,1.518702825,Q2M2I8;Q2M2I8-2,Q2M2I8;Q2M2I8-2,AAK1_HUMAN,AAK1
+,0.807080504,1.510450363,Q9ULA0;Q9ULA0-2,Q9ULA0;Q9ULA0-2,DNPEP_HUMAN,DNPEP
+,2.629274493,1.507239978,Q6P2E9,Q6P2E9,EDC4_HUMAN,EDC4
+,1.871016211,1.50350666,Q9C035,Q9C035;Q9C035-2;Q9C035-3;Q9C035-4;Q9C035-5;Q9C035-6,TRIM5_HUMAN,TRIM5
+,0.79928476,1.493678411,Q9H019;Q9H019-2;Q9H019-3,Q9H019;Q9H019-2;Q9H019-3,MFR1L_HUMAN,MTFR1L
+,1.239053807,1.487699827,Q05823;Q05823-2,Q05823;Q05823-2,RN5A_HUMAN,RNASEL
+,2.240793005,1.484976451,Q5GLZ8;Q5GLZ8-2;Q5GLZ8-3;Q5GLZ8-6,Q5GLZ8;Q5GLZ8-2;Q5GLZ8-3;Q5GLZ8-6,HERC4_HUMAN,HERC4
+,2.387868667,1.479745865,P62888,P62888,RL30_HUMAN,RPL30
+,0.779322028,1.472683589,Q9H0R1,Q9H0R1;Q9H0R1-2,AP5M1_HUMAN,AP5M1
+,1.860365784,1.46845754,Q96AJ1,Q96AJ1,CLUA1_HUMAN,CLUAP1
+,1.980202249,1.466243744,Q9H9C1;Q9H9C1-2,Q9H9C1;Q9H9C1-2,SPE39_HUMAN,VIPAS39
+,4.205549989,1.461989403,Q9NPI6;Q9NPI6-2,Q9NPI6;Q9NPI6-2,DCP1A_HUMAN,DCP1A
+,3.909480882,1.459123294,Q9NWB7,Q9NWB7,IFT57_HUMAN,IFT57
+,2.808659672,1.453133901,O15116,O15116,LSM1_HUMAN,LSM1
+,1.629147601,1.452957153,P37268;P37268-5,P37268;P37268-5,FDFT_HUMAN,FDFT1
+,2.72384651,1.44643561,Q9H8Y8;Q9H8Y8-3,Q9H8Y8;Q9H8Y8-2;Q9H8Y8-3,GORS2_HUMAN,GORASP2
+,4.681335227,1.440181732,P53365;P53365-2;P53365-3,P53365;P53365-2;P53365-3,ARFP2_HUMAN,ARFIP2
+,3.066584591,1.43282795,Q8IZD4,Q8IZD4;Q8IZD4-2,DCP1B_HUMAN,DCP1B
+,0.87890134,1.42142264,Q63ZY3;Q63ZY3-2;Q63ZY3-3,Q63ZY3;Q63ZY3-2;Q63ZY3-3,KANK2_HUMAN,KANK2
+,6.739567352,1.42064476,Q9UNF0,Q9UNF0;Q9UNF0-2,PACN2_HUMAN,PACSIN2
+,2.452969069,1.409420013,Q5TC82,Q5TC82;Q5TC82-2;Q9HBD1;Q9HBD1-2;Q9HBD1-3;Q9HBD1-4;Q9HBD1-6,RC3H1_HUMAN,RC3H1
+,4.45231158,1.407365799,Q86UP2;Q86UP2-2;Q86UP2-4,Q86UP2;Q86UP2-2;Q86UP2-3;Q86UP2-4,KTN1_HUMAN,KTN1
+,1.223522427,1.407359759,Q8IY31;Q8IY31-2,Q8IY31;Q8IY31-2,IFT20_HUMAN,IFT20
+,4.738522914,1.407085419,P26639;P26639-2,P26639;P26639-2,SYTC_HUMAN,TARS1
+,3.061118023,1.39998277,Q9NRF2;Q9NRF2-2;Q9NRF2-3,Q9NRF2;Q9NRF2-2;Q9NRF2-3,SH2B1_HUMAN,SH2B1
+,1.01735186,1.39839522,Q6DKK2,Q6DKK2,TTC19_HUMAN,TTC19
+,1.552157258,1.395605723,O60551,O60551,NMT2_HUMAN,NMT2
+,4.495613921,1.393824895,Q8WYA0,Q8WYA0;Q8WYA0-4,IFT81_HUMAN,IFT81
+,2.945750754,1.385615985,Q5PRF9,Q5PRF9,SMAG2_HUMAN,SAMD4B
+,0.869205347,1.37196509,Q8TBP0,Q8TBP0,TBC16_HUMAN,TBC1D16
+,1.039096761,1.368792852,Q96D71;Q96D71-2;Q96D71-3;Q96D71-4,Q96D71;Q96D71-2;Q96D71-3;Q96D71-4,REPS1_HUMAN,REPS1
+,3.392161146,1.366119385,O14727;O14727-4;O14727-5,O14727;O14727-2;O14727-3;O14727-4;O14727-5,APAF_HUMAN,APAF1
+,4.609374471,1.362824758,Q93008;Q93008-3,O00507;O00507-2;Q93008;Q93008-3,USP9X_HUMAN,USP9X
+,2.346788063,1.360208511,Q7Z4S6;Q7Z4S6-2;Q7Z4S6-3;Q7Z4S6-4;Q7Z4S6-5,Q7Z4S6;Q7Z4S6-2;Q7Z4S6-3;Q7Z4S6-4;Q7Z4S6-5,KI21A_HUMAN,KIF21A
+,0.976740834,1.357411385,O60888;O60888-2;O60888-3,O60888;O60888-2;O60888-3,CUTA_HUMAN,CUTA
+,1.74164297,1.356151581,Q96F45;Q96F45-2;Q96F45-3;Q9H7S9,Q96F45;Q96F45-2;Q96F45-3;Q9H7S9,ZN503_HUMAN;ZN703_HUMAN,ZNF503;ZNF703
+,5.016006045,1.355849584,Q15018,Q15018,ABRX2_HUMAN,ABRAXAS2
+,1.703551288,1.351812681,Q8IWJ2,Q8IWJ2,GCC2_HUMAN,GCC2
+,2.073165412,1.350554784,O14640;O14640-2;P54792;P54792-2,O14640;O14640-2;P54792;P54792-2,DVL1_HUMAN;DVLP1_HUMAN,DVL1;DVL1P1
+,1.406453957,1.342136383,Q99683,Q6ZN16;Q6ZN16-2;Q6ZN16-3;Q99683,M3K5_HUMAN,MAP3K5
+,2.140118344,1.338342667,Q9NVX0,Q9NVX0;Q9NVX0-2;Q9NVX0-3,HAUS2_HUMAN,HAUS2
+,3.713422623,1.336991628,Q8N122,Q8N122;Q8N122-3,RPTOR_HUMAN,RPTOR
+,1.379527956,1.335516294,Q9BXB5;Q9BXB5-2,Q9BXB5;Q9BXB5-2,OSB10_HUMAN,OSBPL10
+,0.941501532,1.330093702,Q9Y2W6,Q9Y2W6,TDRKH_HUMAN,TDRKH
+,3.656358954,1.329326948,Q96AC1;Q96AC1-2;Q96AC1-3,Q96AC1;Q96AC1-2;Q96AC1-3,FERM2_HUMAN,FERMT2
+,3.158301554,1.32874616,P05387,P05387,RLA2_HUMAN,RPLP2
+,0.834460073,1.326914787,Q96BT7;Q96BT7-4,Q96BT7;Q96BT7-4,ALKB8_HUMAN,ALKBH8
+,3.201657982,1.325179418,Q9NUD5,Q9NUD5,ZCHC3_HUMAN,ZCCHC3
+,3.084294973,1.323509852,Q9UL42,Q9UL42,PNMA2_HUMAN,PNMA2
+,2.144654824,1.322307587,P17252,P17252,KPCA_HUMAN,PRKCA
+,0.988817247,1.32158343,Q96M27;Q96M27-2;Q96M27-3,Q96M27;Q96M27-2;Q96M27-3,PRRC1_HUMAN,PRRC1
+,3.960806983,1.320463181,P62906,P62906,RL10A_HUMAN,RPL10A
+,4.517530344,1.318301519,P05388,P05388;P05388-2,RLA0_HUMAN,RPLP0
+,3.587953528,1.316903432,Q9NVD7,Q9NVD7,PARVA_HUMAN,PARVA
+,2.357289067,1.316252073,A0A2Z4LIS9,A0A2Z4LIS9,FXO3B_HUMAN,FOXO3B
+,2.502845469,1.315076828,Q14185,Q14185,DOCK1_HUMAN,DOCK1
+,2.374307582,1.311765035,Q9Y315,Q9Y315,DEOC_HUMAN,DERA
+,3.460247826,1.310053507,Q15785,Q15785,TOM34_HUMAN,TOMM34
+,2.503029322,1.303197861,Q04446,Q04446,GLGB_HUMAN,GBE1
+,2.902155797,1.296422005,Q9UII4,Q9UII4,HERC5_HUMAN,HERC5
+,1.653335732,1.29081281,P50570-4,P50570;P50570-4;P50570-5,DYN2_HUMAN,DNM2
+,4.238965236,1.288105011,P39023,P39023,RL3_HUMAN,RPL3
+,3.426001188,1.284236272,Q16851;Q16851-2,Q16851;Q16851-2,UGPA_HUMAN,UGP2
+,2.880253813,1.282929103,P46934-4,P46934-4,NEDD4_HUMAN,NEDD4
+,3.703655309,1.281800588,Q9UGJ1;Q9UGJ1-2,Q9UGJ1;Q9UGJ1-2,GCP4_HUMAN,TUBGCP4
+,0.74768615,1.278624535,Q8IZ07,Q8IZ07,AN13A_HUMAN,ANKRD13A
+,2.196964558,1.278503418,O75607,O75607,NPM3_HUMAN,NPM3
+,4.139865661,1.278004964,Q9BVC4;Q9BVC4-3;Q9BVC4-5,Q9BVC4;Q9BVC4-3;Q9BVC4-4;Q9BVC4-5,LST8_HUMAN,MLST8
+,1.807938787,1.277456601,Q9C040;Q9C040-2,Q9C040;Q9C040-2,TRIM2_HUMAN,TRIM2
+,3.737228641,1.271415075,Q9Y5S2,Q9Y5S2,MRCKB_HUMAN,CDC42BPB
+,3.849433682,1.26866595,P84098,P84098,RL19_HUMAN,RPL19
+,1.651163345,1.265516599,Q68DK2;Q68DK2-2;Q68DK2-5,Q68DK2;Q68DK2-2;Q68DK2-3;Q68DK2-5,ZFY26_HUMAN,ZFYVE26
+,1.346348316,1.264936447,Q8TBA6;Q8TBA6-2,Q8TBA6;Q8TBA6-2,GOGA5_HUMAN,GOLGA5
+,4.755463438,1.26423645,Q9NSD9,Q9NSD9;Q9NSD9-2,SYFB_HUMAN,FARSB
+,3.172215247,1.252896627,P40429,P40429;Q6NVV1,RL13A_HUMAN,RPL13A
+,1.99247398,1.251319567,P42025,P42025,ACTY_HUMAN,ACTR1B
+,1.950588856,1.246871312,P84085,P84085,ARF5_HUMAN,ARF5
+,2.637196938,1.245306015,Q13155,Q13155;Q13155-2,AIMP2_HUMAN,AIMP2
+,2.428872956,1.237858454,Q9NQ48;Q9NQ48-2,Q9NQ48;Q9NQ48-2;Q9NQ48-3,LZTL1_HUMAN,LZTFL1
+,2.231370871,1.237849553,Q86VS8,Q86VS8,HOOK3_HUMAN,HOOK3
+,1.782449517,1.236133258,O14715;Q99666,O14715;Q99666,RGPD5_HUMAN;RGPD8_HUMAN,RGPD5;RGPD8
+,4.837185075,1.235590617,P54577,P54577,SYYC_HUMAN,YARS1
+,2.930596438,1.22594738,Q5W0V3,Q5W0V3;Q5W0V3-2,FHI2A_HUMAN,FHIP2A
+,2.877934353,1.224983851,Q9UBK8;Q9UBK8-1,Q9UBK8;Q9UBK8-1,MTRR_HUMAN,MTRR
+,4.010938123,1.222863515,P48553,P48553,TPC10_HUMAN,TRAPPC10
+,1.362962611,1.221424103,A1A4S6,A1A4S6,RHG10_HUMAN,ARHGAP10
+,2.663139581,1.220855713,P00966,P00966,ASSY_HUMAN,ASS1
+,1.177162926,1.219727834,Q7Z6K3,Q7Z6K3,PTAR1_HUMAN,PTAR1
+,0.947854066,1.219112396,Q96G28;Q96G28-2,Q96G28;Q96G28-2,CFA36_HUMAN,CFAP36
+,0.8068477,1.215887388,Q9Y6I3;Q9Y6I3-1;Q9Y6I3-3,Q9H201;Q9H201-2;Q9Y6I3;Q9Y6I3-1;Q9Y6I3-3,EPN1_HUMAN,EPN1
+,5.005671793,1.215632757,Q9Y490,Q9Y490,TLN1_HUMAN,TLN1
+,4.572451983,1.215345383,Q00610;Q00610-2,P53675;P53675-2;Q00610;Q00610-2,CLH1_HUMAN,CLTC
+,2.949260565,1.215135574,Q99871;Q99871-2;Q99871-3,Q99871;Q99871-2;Q99871-3,HAUS7_HUMAN,HAUS7
+,3.746989364,1.210790634,P48059;P48059-2;P48059-3;P48059-4;P48059-5,P48059;P48059-2;P48059-3;P48059-4;P48059-5,LIMS1_HUMAN,LIMS1
+,1.050536393,1.20886453,Q9P2T1;Q9P2T1-2,Q9P2T1;Q9P2T1-2;Q9P2T1-3,GMPR2_HUMAN,GMPR2
+,1.10386664,1.207448641,Q9UJT0,Q9UJT0,TBE_HUMAN,TUBE1
+,1.773566045,1.20595487,Q9H4L5;Q9H4L5-2,Q9H4L5;Q9H4L5-2;Q9H4L5-3;Q9H4L5-4;Q9H4L5-5;Q9H4L5-6;Q9H4L5-7;Q9H4L5-8,OSBL3_HUMAN,OSBPL3
+,3.409122636,1.200582504,P40222,P40222,TXLNA_HUMAN,TXLNA
+,1.353449244,1.200450579,Q9BY12;Q9BY12-3,Q9BY12;Q9BY12-3,SCAPE_HUMAN,SCAPER
+,0.994241214,1.197715441,Q9BSF8;Q9BSF8-2,Q9BSF8;Q9BSF8-2,BTBDA_HUMAN,BTBD10
+,1.402693968,1.193102201,Q9Y2D8;Q9Y2D8-2;Q9Y2D8-3,Q9Y2D8;Q9Y2D8-2;Q9Y2D8-3,ADIP_HUMAN,SSX2IP
+,3.989019068,1.184561412,P62913;P62913-2,P62913;P62913-2,RL11_HUMAN,RPL11
+,1.111316703,1.183352788,O00635,O00635,TRI38_HUMAN,TRIM38
+,2.79858055,1.183054606,Q9BW83,Q9BW83;Q9BW83-2,IFT27_HUMAN,IFT27
+,0.980313641,1.182680448,Q9Y5P8,Q9Y5P8,P2R3B_HUMAN,PPP2R3B
+,4.115916864,1.180056254,Q9NVA2;Q9NVA2-2,Q14141;Q14141-2;Q14141-3;Q14141-4;Q92599;Q92599-2;Q92599-3;Q92599-4;Q9NVA2;Q9NVA2-2,SEP11_HUMAN,SEPTIN11
+,3.510616786,1.178470612,Q00688,Q00688,FKBP3_HUMAN,FKBP3
+,2.244429635,1.177798271,Q9H444,Q9H444,CHM4B_HUMAN,CHMP4B
+,1.91429706,1.177400589,P05386,P05386,RLA1_HUMAN,RPLP1
+,5.329211251,1.175203959,P49327,P49327,FAS_HUMAN,FASN
+,1.742385067,1.174819311,Q9NRW3,Q9NRW3,ABC3C_HUMAN,APOBEC3C
+,0.755874134,1.174523036,Q9NXC2,Q9NXC2,GFOD1_HUMAN,GFOD1
+,3.317985894,1.173664729,Q13099;Q13099-1;Q13099-3,Q13099;Q13099-1;Q13099-3,IFT88_HUMAN,IFT88
+,4.017778291,1.169436137,Q86WT1,Q86WT1;Q8N4P2,TT30A_HUMAN,TTC30A
+,3.27954451,1.168628693,P61353,P61353,RL27_HUMAN,RPL27
+,4.145302888,1.167163213,Q96Q05;Q96Q05-2;Q96Q05-3,Q96Q05;Q96Q05-2;Q96Q05-3,TPPC9_HUMAN,TRAPPC9
+,2.883258239,1.164158503,Q7Z5Y7;Q7Z5Y7-2;Q7Z5Y7-3,Q7Z5Y7;Q7Z5Y7-2;Q7Z5Y7-3,KCD20_HUMAN,KCTD20
+,3.20561638,1.154841423,Q9Y6B7;Q9Y6B7-2,Q9Y6B7;Q9Y6B7-2,AP4B1_HUMAN,AP4B1
+,4.847759288,1.154558818,Q9UPU5,Q9UPU5,UBP24_HUMAN,USP24
+,0.925713113,1.153394699,Q96KN1,Q96KN1,LRAT2_HUMAN,LRATD2
+,1.807012858,1.151849111,Q8IV32,Q8IV32,CCD71_HUMAN,CCDC71
+,1.415578597,1.149585088,Q9BZL6;Q9BZL6-3,Q9BZL6;Q9BZL6-2;Q9BZL6-3,KPCD2_HUMAN,PRKD2
+,0.870942246,1.149400393,O75417,O75417,DPOLQ_HUMAN,POLQ
+,3.181314661,1.148700078,P18124,P18124,RL7_HUMAN,RPL7
+,3.552031683,1.148257573,P46736;P46736-2;P46736-3,P46736;P46736-2;P46736-3;P46736-4;P46736-5,BRCC3_HUMAN,BRCC3
+,4.972793142,1.144374847,Q92616,Q92616,GCN1_HUMAN,GCN1
+,2.670470376,1.14362208,P31323,P31323,KAP3_HUMAN,PRKAR2B
+,4.315213888,1.142155329,Q6R327;Q6R327-3,Q6R327;Q6R327-3,RICTR_HUMAN,RICTOR
+,2.463983645,1.141513824,Q9Y3U8,Q9Y3U8,RL36_HUMAN,RPL36
