transcript_id_clean,symbol,feature,value,status
ENST00000000233,ARF5,utr5_length,88,recomputed
ENST00000000233,ARF5,utr3_length,401,recomputed
ENST00000000233,ARF5,cds_length,543,recomputed
ENST00000000233,ARF5,log2_utr5_length,6.475733430966398,unverified
ENST00000000233,ARF5,log2_utr3_length,8.651051691178928,unverified
ENST00000000233,ARF5,log2_cds_length,9.087462841250339,unverified
ENST00000000233,ARF5,total_length,1032,unverified
ENST00000000233,ARF5,log2_total_length,10.01262453886506,unverified
ENST00000000233,ARF5,utr5_gc,84.0909090909091,recomputed
ENST00000000233,ARF5,utr3_gc,58.85286783042394,recomputed
ENST00000000233,ARF5,cds_gc,55.80110497237569,recomputed
ENST00000000233,ARF5,transcript_gc,59.39922480620155,unverified
ENST00000000233,ARF5,gc3,74.03314917127072,recomputed
ENST00000000233,ARF5,is_dap5_repressed,0,unverified
ENST00000000233,ARF5,is_dap5_promoted,0,unverified
ENST00000000233,ARF5,clip_lee_parclip_a_b_d_g_bound,0,unverified
ENST00000000233,ARF5,clip_lee_parclip_a_b_d_g_5utr,0,unverified
ENST00000000233,ARF5,clip_lee_parclip_a_b_d_g_cds,0,unverified
ENST00000000233,ARF5,clip_lee_parclip_d_only_bound,0,unverified
ENST00000000233,ARF5,clip_lee_parclip_d_only_5utr,0,unverified
ENST00000000233,ARF5,clip_lee_parclip_d_only_cds,0,unverified
ENST00000000233,ARF5,clip_cate_undiff_npcs_bound,1,unverified
ENST00000000233,ARF5,clip_cate_undiff_npcs_5utr,0,unverified
ENST00000000233,ARF5,clip_cate_undiff_npcs_cds,0,unverified
ENST00000000233,ARF5,clip_cate_undiff_npcs_3utr,1,unverified
ENST00000000233,ARF5,clip_cate_diff_npcs_bound,1,unverified
ENST00000000233,ARF5,clip_cate_diff_npcs_5utr,0,unverified
ENST00000000233,ARF5,clip_cate_diff_npcs_cds,0,unverified
ENST00000000233,ARF5,clip_cate_diff_npcs_3utr,1,unverified
ENST00000000233,ARF5,clip_lee_int_stress_bound,0,unverified
ENST00000000233,ARF5,clip_lee_glu_dep_bound,0,unverified
ENST00000000233,ARF5,dap5_weber_lfc,NA,unverified
ENST00000000233,ARF5,dap5_polysome_lfc,-0.7347172316750815,unverified
ENST00000000233,ARF5,clip_eif3_count,2,unverified
ENST00000000233,ARF5,clip_cap_binding_count,0,unverified
ENST00000000233,ARF5,clip_lee_int_stress_lfc,NA,unverified
ENST00000000233,ARF5,clip_lee_glu_vs_cm_enrichment,NA,unverified
ENST00000000233,ARF5,cai,0.7979810394607204,unverified
ENST00000000233,ARF5,tai,0.3341222609846873,unverified
ENST00000000233,ARF5,csc,0.7122017428236972,unverified
ENST00000000233,ARF5,fop,0.5388888888888889,unverified
ENST00000000233,ARF5,kozak_score,2,unverified
ENST00000000233,ARF5,kozak_optimal,0,unverified
ENST00000000233,ARF5,kozak_pwm_score,1.4338257188944654,unverified
ENST00000000233,ARF5,cnot3_ribo_enrichment,2.7052275688902476,unverified
ENST00000000233,ARF5,cnot3_weighted_codon_score,0.0723497042426449,unverified
ENST00000000233,ARF5,zhu2024_ctrl_halflife,NA,unverified
ENST00000000233,ARF5,zhu2024_cnot3ko_halflife_logfc,NA,unverified
ENST00000000233,ARF5,hia2026_ctrl_halflife,NA,unverified
ENST00000000233,ARF5,hia2026_dhx29_halflife_logfc,NA,unverified
ENST00000000233,ARF5,hia2026_dhx29_occupancy,0.9516067808333335,unverified
ENST00000000233,ARF5,karner2026_mda231_log2_ct,-7.178120200927185,unverified
ENST00000000233,ARF5,hia2026_dhx29_kd_rna_lfc,-0.161076128745341,unverified
ENST00000000233,ARF5,kozak_pwm_score_v2,4.870497373715005,unverified
ENST00000000233,ARF5,noderer_tis_efficiency,86,recomputed
ENST00000000233,ARF5,tai_gtrnadb,0.3121411781321643,unverified
ENST00000000233,ARF5,gc3_internal,74.30167597765363,recomputed
ENST00000000233,ARF5,cai_internal,0.7969756357456003,unverified
ENST00000000233,ARF5,fop_internal,0.5363128491620112,unverified
ENST00000000233,ARF5,csc_internal,0.4220340693192968,unverified
ENST00000000233,ARF5,proline_fraction,0.0223463687150838,recomputed
ENST00000000233,ARF5,ppp_motif_density,0,recomputed
ENST00000000233,ARF5,max_net_charge_30aa,6,recomputed
ENST00000000233,ARF5,max_consecutive_aaa,1,recomputed
ENST00000000233,ARF5,max_consecutive_aag,2,recomputed
ENST00000000233,ARF5,g4mer_max_resid_utr5,-0.4876974331389354,traced
ENST00000000233,ARF5,g4mer_max_resid_cds,-0.2883338720100323,traced
